,kentucky,tennessee,virginia,west virginia,,
geometryArea_km2,"33,632.72","12,770.67","8,347.36","28,362.39",,does not include Campagna data
1984,472.71,69.47,61.9,210.91,,(nor does the cumulativeArea_byCounty sheet)
1985,552.21,75.95,70.69,245.65,,
1986,629.47,80.78,77.71,276.34,,
1987,684.54,83.9,84.17,304.77,,
1988,729.2,91.72,90.82,331.76,,
1989,768.28,97.62,95.73,361.66,,
1990,833.59,102.2,102.87,408.96,,
1991,872.73,106.72,109.49,447.4,,
1992,920.52,111.06,115.84,487.39,,
1993,969.09,116.95,122.41,524.46,,
1994,1015.69,121.83,128.69,553.75,,
1995,1068.34,128,139.33,595.04,,
1996,1116.2,135.51,149.24,627.82,,
1997,1169.6,142.49,159.48,670.75,,
1998,1227.2,149.98,171.21,707.55,,
1999,1289.23,157.75,183.59,749.9,,
2000,1340.59,166.85,194.19,785.49,,
2001,1393.65,175.57,205.91,829.59,,
2002,1444.43,181.25,218.72,867.1,,
2003,1483.92,189.64,231.62,895.36,,
2004,1534.58,194.88,243.36,936.11,,
2005,1577.73,203.16,258.3,974.77,,
2006,1623.82,210.46,272.29,1020.72,,
2007,1672.45,217.03,285.14,1065.32,,
2008,1719.19,223.6,297.3,1108.98,,
2009,1769.67,228.75,309.71,1146.62,,
2010,1803.67,234.06,319.54,1173.06,,
2011,1829.31,238.28,327.48,1201.27,,
2012,1850.16,241.62,333.03,1225.31,,
2013,1879.17,246.04,339.95,1253.93,,
2014,1903.58,249.38,344.35,1276.92,,
2015,1917.96,252.18,347.88,1292.46,,
2016,1938.86,262.02,355.43,1333.06,,